SeqId	Reference
12329-21	347
12332-7	6327.4
12333-87	806.7
12334-25	513.4
12338-27	7430.4
12340-17	5271.8
12341-8	2659.7
12343-14	943.3
12345-4	960.9
12347-29	4511
12348-46	1318.5
12350-86	1889.7
12351-25	22221.4
12352-70	1016.9
12355-223	2049.7
12356-65	1686.8
12357-41	1059
12358-6	5893.2
12361-102	742.6
12363-70	2064.6
12365-108	2664.4
12366-16	468
12367-52	229.3
12368-18	539.4
12370-30	8465.2
12372-50	435.2
12373-73	2190.2
12374-8	4552.4
12376-85	3687.3
12378-71	3067.9
12381-26	3771.3
12382-2	629.2
12384-92	1705
12385-4	4556
12386-11	11526.1
12387-7	694.2
12389-4	1299.1
12391-27	709.6
12392-30	1116.4
12394-53	492.4
12395-86	3266.2
12396-19	2884.5
12398-15	685
12399-194	998.7
12400-25	1013.1
12401-3	1669.6
12403-30	1706.7
12406-119	1152.8
12408-333	1485.2
12409-90	789
12411-60	1875.8
12414-31	5671.1
12415-122	3095.6
12417-46	1168.7
12420-10	9357.8
12422-143	500.5
12423-38	3023.1
12424-107	549.4
12425-104	2069
12426-19	8584.5
12427-8	5251.6
12428-2	922.1
12430-78	1092.2
12431-13	2824.7
12432-23	7181.5
12433-8	4742.5
12434-25	4393.1
12436-84	2290.3
12437-18	768.5
12438-127	549
12439-67	593.4
12442-4	425.2
12444-39	534.9
12445-50	1207.8
12446-49	5835.6
12448-246	16941.8
12449-16	1791.1
12450-42	1335.5
12451-62	1900.4
12452-32	2453.5
12453-161	505
12454-105	644.5
12455-48	773.9
12456-5	3332.6
12457-10	931
12458-79	4123.5
12459-13	373.2
12460-18	13989.8
12461-8	2938.9
12462-20	704.9
12463-7	3068.2
12466-7	2093.6
12469-19	18529.7
12471-47	2108
12473-48	986.5
12475-48	7198.2
12476-50	1328.4
12477-42	1089.7
12478-15	7154.3
12479-50	1833.2
12480-9	3612.7
12482-5	1571
12483-62	720.8
12484-67	2897.6
12486-8	996.5
12488-9	1581.1
12490-92	2391.1
12491-23	2063.2
12493-42	1030.5
12494-99	3606.3
12497-29	6000.1
12498-12	5185
12499-108	10566.3
12500-88	2970.5
12501-10	2882.8
12503-5	1265
12504-26	2473.5
12507-16	869.1
12508-9	6839.3
12509-115	2200.6
12510-3	2612.9
12511-83	1896.5
12513-8	1077.2
12514-16	1407.2
12515-45	1320.1
12516-13	604.4
12517-52	20265.3
12518-289	8711.9
12521-3	861.8
12522-6	6678.6
12524-18	1768.8
12527-50	1110.1
12528-40	777
12529-32	3788.5
12530-14	5636.4
12531-5	1379.4
12532-28	2353
12533-135	810.5
12534-10	2654.1
12535-2	491.8
12536-46	433.5
12537-88	2152.1
12538-19	850.5
12540-25	1755.8
12543-76	776.5
12546-1	1657.5
12548-75	360.5
12549-33	3710.7
12551-3	6543.6
12553-5	902.6
12554-10	1395.6
12556-7	696.9
12557-18	1847.6
12558-3	7067.4
12560-9	1764.3
12562-1	945.6
12563-2	1526.7
12564-9	1681
12568-14	139.5
12569-25	14934
12571-14	1179.7
12572-236	893.2
12573-80	541.4
12574-36	1674.3
12575-30	8201.7
12576-21	666.9
12577-100	840.6
12578-13	2210.9
12580-7	1099.6
12581-39	588.9
12583-77	902
12585-39	410.7
12587-65	1027.9
12590-67	979.2
12591-27	9898.7
12593-33	4062.3
12594-5	323.4
12595-11	1467.3
12597-68	6875.9
12599-10	47620.9
12603-87	9945.5
12604-16	1910.4
12605-1	1875.7
12612-37	2318.3
12616-45	1207.4
12617-2	31739.6
12618-50	376.2
12619-14	6315.1
12620-3	3872.4
12621-55	3072.2
12622-96	697
12623-84	537.2
12625-138	1201.5
12626-6	291.1
12627-97	1893.3
12628-31	3513.6
12630-8	2214.9
12632-14	1547.6
12633-3	443
12634-79	1499.5
12635-9	391.2
12636-113	269.1
12637-7	837
12641-3	3437.8
12643-4	7997.3
12644-63	539.5
12646-2	706.5
12647-52	217.4
12649-80	51658.1
12650-43	924.1
12651-21	623.8
12652-37	2137.9
12653-13	640.8
12655-30	1818.6
12656-1	620.7
12657-2	1163
12658-72	872.5
12659-13	2286.2
12661-44	892
12662-82	1100
12663-1	2205.1
12664-19	504.6
12665-16	608.4
12667-2	1276.2
12668-7	5468
12669-30	455.9
12670-15	413.9
12671-35	903.6
12675-14	22838.4
12676-1	2601.9
12677-164	1222.5
12678-66	861.1
12681-63	3323.8
12682-5	952
12683-156	688.4
12684-5	3403.4
12685-57	428.5
12686-15	1375
12687-2	4519.6
12688-115	1356.7
12689-56	54032.8
12690-33	3875.6
12691-44	13921.7
12692-56	438.4
12693-2	1463.2
12694-28	191.7
12695-62	318
12696-166	3671.7
12697-30	5987.2
12698-72	1212.8
12699-28	15603
12700-9	1008.6
12701-1	4716.9
12702-13	1105.8
12703-6	13230.5
12704-26	780.5
12705-9	368.4
12706-2	2020.6
12707-26	1248.3
12708-91	1129.7
12709-63	1209.8
12711-19	520.6
12712-9	529.2
12713-365	3507.9
12714-38	2969.8
12715-30	523.4
12716-3	2818.7
12717-65	1059.3
12718-43	7698.5
12720-71	3454.2
12721-4	1182.6
12724-81	15074.8
12726-3	812
12727-7	7644.8
12729-12	1178.9
12730-3	4569.8
12731-12	347.2
12732-13	5083.5
12734-112	394
12735-39	856.9
12737-12	2572.2
12738-43	3352
12740-55	522.9
12742-160	4064.6
12743-18	565.3
12746-4	878
12747-89	21023.6
12748-6	1068.8
12750-9	1768.8
12751-26	429.9
12753-6	1163
12754-14	2645.3
12756-3	2783.6
12758-47	3682.1
12759-47	808.1
12760-34	686.2
12761-12	1235
12763-69	2077.8
12764-3	639.2
12766-33	391.6
12768-3	1440.3
12771-19	498.2
12772-8	468.1
12774-12	714.9
12775-6	2443.1
12777-11	1634.7
12779-30	4637.4
12781-2	756.1
12783-29	2523.9
12784-10	1609.4
12785-49	241.1
12786-61	611.6
12787-47	371.1
12788-6	485.2
12790-10	738
12793-4	739.8
12794-6	1083.6
12795-2	984.8
12796-44	573.2
12798-46	581.5
12799-65	736
12800-5	5023.2
12801-33	566.4
12803-9	567.5
12804-5	476.1
12807-89	996.4
12808-103	1749.9
12811-55	885
12812-25	6561.1
12813-18	1275.5
12814-17	579.8
12815-9	399.6
12817-1	4213
12818-159	1269
12820-1	2410.5
12821-6	2911.1
12822-34	1551.4
12825-18	582.4
12826-5	9679.6
12827-37	820.5
12830-4	1420.4
12831-21	2822.6
12832-10	1234.7
12834-3	1646.8
12835-101	459.5
12838-28	507.9
12842-43	5503
12843-6	559.9
12844-10	706.3
12845-18	5302.1
12846-3	541.5
12847-27	1284.5
12848-9	1129.5
12849-25	664.1
12851-5	1209.9
12853-112	330.8
12854-3	818.5
12855-16	1400.9
12856-14	985.3
12859-33	1672.4
12860-7	720.4
12861-13	15826.3
12862-14	1068
12864-9	1877.3
12867-40	2904.5
12869-68	28237.7
12871-10	3148.8
12872-35	918.2
12873-11	934.7
12875-28	1030.8
12876-39	214.3
12878-60	3078.6
12879-5	572.3
12880-1	913.5
12881-17	4232.6
12882-7	2029.2
12885-42	420.9
12888-18	643.5
12891-1	2676.7
12892-10	763.1
12893-159	2883.2
12894-3	2138.2
12895-28	3022.6
12898-5	348.8
12900-29	1160.9
12904-180	150.6
12906-137	870.4
12912-25	1089
12915-26	1327.2
12916-3	776.1
12921-51	177.4
12923-51	1580.3
12925-105	298.5
12931-16	800.8
12933-17	547.4
12934-1	1451.5
12936-38	1078.5
12939-1	1543.2
12940-35	659.3
12941-24	307.9
12945-33	10004.5
12954-71	2132.3
12956-40	3373.1
12957-62	373
12958-8	754.5
12960-9	2698.3
12963-1	174.6
12968-2	2471.2
12970-35	380.9
12975-11	848
12976-49	1193.2
12980-31	906.9
12986-12	670.4
12987-12	2271.3
12988-49	2415.3
12990-39	303.2
12991-49	338.2
12993-21	8296.8
13007-66	1935
13011-20	1354.9
13013-41	1887.1
13021-12	1509.5
13022-20	4873.6
13023-8	332.5
13025-4	551.8
13027-20	575.9
13028-2	4521.1
13032-1	283.9
13039-1	1376.5
13041-47	566.8
13042-7	4654.4
13043-157	244.3
13044-5	4231.8
13053-6	3256
13054-87	3992.2
13055-53	1145.2
13056-18	409.6
13059-33	916
13062-4	7695.4
13066-42	2858.3
13067-5	2423.8
13068-139	445.7
13073-14	1840.5
13076-4	1911.6
13078-3	3867.6
13082-9	2284.8
13083-18	2323.8
13085-18	738.8
13088-397	454.9
13089-6	506.8
13090-17	1454.8
13093-6	920.8
13094-75	948
13095-51	7836.9
13097-11	673.1
13098-93	13494.9
13101-60	2101.8
13102-1	5911.1
13103-125	1039.7
13104-32	1186.3
13105-7	1449.5
13107-9	1391.9
13109-82	2951.8
13111-79	2222.6
13112-179	21646.5
13113-7	1413.1
13114-50	5612.5
13116-25	529.9
13117-232	10987.4
13118-5	1864.9
13119-26	9250
13122-19	9892.9
13123-3	3130.3
13124-20	4308
13125-45	4727.4
13126-52	1254.3
13129-40	221.2
13130-150	609.2
13131-5	3580.3
13132-14	5382.1
13133-73	16691.5
13228-75	683.2
13229-20	1170.4
13230-174	346.8
13231-90	837
13236-25	6046.3
13240-170	174.7
13242-134	928.5
13256-21	1019.6
13268-45	1495.8
13374-4	12177.8
13375-48	444.1
13377-3	2420.4
13378-80	2592.3
13381-49	21664.1
13384-110	3333.2
13386-248	960.5
13387-55	452.6
13388-57	2076.9
13389-8	2465.4
13392-13	1837.8
13393-46	1439.7
13397-88	30011.5
13399-33	461.6
13403-5	350.4
13405-61	802.7
13406-161	1986
13408-23	2580.1
13409-9	958.1
13411-21	726.5
13412-5	304.1
13416-8	4533.3
13421-17	509.9
13422-66	1484.4
13423-94	1456.4
13424-51	3136.2
13427-66	856
13429-3	1223.3
13430-50	2439.6
13431-74	491.5
13432-9	789.8
13434-172	1595.5
13435-31	7241
13436-54	546.4
13438-115	6959.9
13439-6	1939.5
13441-30	182.8
13447-42	2387.6
13449-25	428.6
13450-49	2584.1
13451-2	827.4
13452-113	777
13453-2	1314.7
13455-10	1682.3
13457-33	215.1
13459-30	708.9
13460-4	13065.5
13463-1	1593.6
13464-8	1734.8
13465-5	1435.3
13468-5	1927.6
13470-43	1135.2
13472-35	2106.5
13473-55	989.5
13474-40	3247.6
13475-10	22714.8
13476-16	351.3
13477-65	1009
13479-8	1160.2
13481-24	1347.1
13482-14	1766.8
13484-69	285
13485-20	3129.6
13486-9	1006.4
13487-24	526.8
13488-3	2387.8
13490-1	1443
13491-40	2530.8
13492-44	3128.2
13493-5	4039.2
13494-6	601.5
13495-48	4205.6
13496-19	7178.6
13497-34	2621.2
13498-1	1072.7
13499-30	23774.7
13500-9	3299
13501-10	4503
13502-2	1904.3
13503-19	2392.1
13504-147	1540.3
13506-10	3508.8
13507-51	2151.4
13509-5	741.4
13510-7	2051.1
13511-29	714
13512-28	915.4
13513-174	475.4
13514-121	1160.4
13515-8	864.2
13516-46	682.5
13517-3	520.5
13518-5	4131.6
13519-112	645.1
13522-20	2361.9
13524-25	558.1
13525-17	3155.4
13526-5	502.8
13529-39	1105.6
13530-5	801.3
13532-25	611.2
13534-20	3462.9
13535-2	772.4
13536-56	358.4
13539-131	1351.8
13540-1	2248.1
13541-1	1017
13543-7	1584.8
13544-9	7763.1
13545-97	1461.5
13547-5	2207.9
13548-53	730.8
13549-15	929.8
13552-7	1873.8
13553-4	725.9
13554-78	988.7
13556-28	1579.5
13557-3	834.6
13561-5	2507.2
13563-259	1091.6
13565-2	1166
13566-2	429.5
13567-1	7416.1
13568-30	978.7
13570-43	427.9
13572-43	3882.9
13573-5	4213
13574-50	843.1
13575-40	6216.8
13576-15	3743.3
13577-25	1295.9
13578-98	401.1
13580-2	663
13583-19	2199.6
13587-10	2116.5
13588-11	8532.5
13589-10	4236.9
13590-1	1809.2
13591-31	647
13594-158	14854.1
13595-20	1419
13596-3	2203.1
13597-20	559.5
13599-15	892.8
13602-6	800.5
13603-7	1896.8
13604-27	1609.1
13605-16	19316.4
13609-11	296.6
13610-9	6770.5
13612-7	245.4
13613-23	488.1
13614-6	6619.8
13615-60	20856.6
13618-15	1476.9
13620-10	447.9
13621-31	14561.2
13622-16	21959.1
13623-4	1106.6
13624-17	494.9
13625-19	496.6
13628-58	855.2
13629-25	3956.4
13631-1	1097.7
13632-10	9191.8
13634-209	1419.9
13636-20	29796.2
13639-101	787
13640-5	632.1
13642-90	638.8
13644-30	2900.6
13645-14	1183.7
13650-11	2216.3
13651-54	1242.9
13652-2	1370.7
13653-335	1580.8
13654-1	1166.9
13655-34	464.1
13657-2	806.2
13658-31	1301.8
13659-36	38779.2
13660-76	14063.6
13661-193	606.6
13663-2	282.1
13665-35	862
13666-222	1915.8
13668-44	2973.5
13669-6	8931.7
13670-81	668.4
13671-40	40048.2
13672-3	2087.2
13673-21	4375.8
13676-46	11984.6
13678-169	26024
13680-3	424.4
13681-173	804.3
13682-47	4341.4
13683-18	963
13686-2	1968.2
13687-5	1459.3
13688-2	558.7
13689-2	1954
13690-26	3276.9
13691-10	3348.3
13692-154	871.7
13693-5	802.5
13694-24	482.1
13697-51	3408.3
13698-28	1089.8
13699-6	555.4
13700-10	10688.5
13701-2	1447.9
13704-5	382.2
13706-12	535.4
13707-27	8410.2
13708-56	3087.8
13710-6	18734.8
13711-10	943.5
13712-104	958.8
13713-164	1132.8
13717-15	25214.4
13719-19	2596.4
13720-95	2284.8
13722-105	61126.4
13723-6	1038.7
13724-27	4849.4
13725-3	2387.8
13726-4	552.8
13727-44	909.8
13728-19	2452.6
13729-26	575.7
13730-18	23699.8
13731-14	29250.5
13732-79	4613.8
13733-5	307.3
13734-22	877.5
13735-1	1193.3
13738-8	1259
13739-3	768.9
13740-51	2413.2
13741-36	12573.6
13742-66	2283.3
13743-56	1015.5
13744-37	7304
13745-10	430.1
13747-9	5824.1
13748-4	330.4
13924-13	1671.5
13926-1	2013.5
13929-27	920.1
13930-3	1175.3
13931-22	3729.1
13932-45	2378.4
13933-276	6216.4
13934-3	888
13936-24	513
13937-75	2508.5
13939-14	738.7
13940-19	1421.5
13941-82	2042
13942-140	914.8
13943-38	5436.8
13944-3	867.5
13946-8	1862
13947-371	1497.5
13948-50	1230.7
13950-9	1313.8
13954-9	2205.8
13955-33	499.8
13958-5	394.8
13959-7	46268.4
13960-15	1181.3
13961-18	7750.1
13963-7	9179.2
13966-30	2849.1
13967-14	3145.3
13969-24	3345
13972-4	849.7
13973-62	543
13975-56	919.9
13976-9	895.5
13977-28	674.8
13978-122	286.4
13979-3	1303.8
