SeqId	Reference
11081-1	1176.8
11083-23	814.9
11089-7	6789.3
11094-104	1002.1
11096-57	2567.1
11098-1	682.0
11101-18	381.8
11102-22	31661.8
11103-24	1896.5
11104-13	20587.4
11105-171	19000.9
11107-25	386.0
11109-56	2056.7
11110-4	314.9
11112-18	259.2
11116-16	3037.3
11117-2	1545.4
11118-107	5306.6
11120-49	1818.5
11121-56	3776.4
11122-97	930.8
11126-102	376.2
11128-29	1835.3
11129-66	810.2
11130-158	469.7
11134-30	555.2
11135-5	345.4
11137-43	405.6
11138-16	890.1
11139-4	1983.5
11140-56	2039.6
11142-11	820.9
11143-32	1548.3
11144-10	405.3
11145-72	486.4
11146-4	466.4
11147-17	285.5
11149-3	791.0
11150-3	2500.4
11152-46	7791.2
11154-3	394.5
11155-16	299.6
11157-35	1931.5
11158-40	615.8
11159-14	232.8
11160-56	1212.4
11161-5	506.2
11162-37	2209.7
11163-7	1013.8
11164-7	1859.5
11167-6	439.7
11168-3	516.0
11171-25	547.7
11173-29	470.2
11174-8	1929.7
11175-45	876.2
11177-16	1722.0
11178-21	1414.0
11179-7	1147.2
11180-17	1124.8
11184-51	33431.1
11185-145	550.6
11186-12	379.6
11187-11	1619.3
11190-129	827.2
11192-168	2776.6
11193-27	787.6
11194-6	426.8
11196-31	2269.8
11198-37	796.2
11200-52	3594.9
11201-19	178.5
11202-70	471.0
11203-97	7095.6
11204-80	1899.9
11205-10	4628.6
11207-3	509.9
11208-15	6165.8
11211-7	5682.1
11212-7	4535.1
11214-40	12818.9
11215-6	3308.8
11217-16	747.0
11218-84	2593.9
11219-95	1089.0
11220-53	710.5
11222-62	294.6
11223-1	772.5
11226-16	2232.4
11227-31	863.5
11228-37	1110.0
11229-16	2126.8
11230-12	397.4
11231-12	133.2
11232-46	2219.6
11237-49	3979.5
11239-49	1115.2
11241-8	5876.9
11242-33	278.1
11243-90	2472.7
11245-43	12446.5
11246-3	28953.5
11247-20	539.2
11248-43	922.0
11252-30	1070.3
11254-13	716.6
11257-1	4448.0
11258-41	1098.5
11260-47	288.4
11262-39	189.1
11263-57	8453.8
11264-33	271.9
11265-8	1023.5
11266-8	2355.3
11270-17	1127.1
11273-176	408.9
11275-94	884.8
11277-23	14236.0
11278-4	5873.5
11279-42	513.5
11280-6	470.9
11281-6	1485.8
11282-16	264.4
11283-13	555.1
11284-24	488.9
11285-8	627.4
11286-78	394.9
11287-14	1197.9
11288-26	1510.2
11289-31	3362.8
11291-73	640.0
11292-13	751.0
11293-14	651.6
11294-7	2078.9
11297-54	164.2
11300-32	566.8
11302-237	1047.6
11303-7	861.8
11307-33	2697.6
11308-8	1101.5
11310-8	538.7
11311-79	622.7
11312-40	391.1
11313-100	1360.4
11315-148	742.7
11318-20	1369.9
11319-106	960.6
11320-29	855.5
11324-3	436.8
11325-8	263.6
11327-56	819.0
11328-9	211.8
11330-15	476.6
11333-82	10316.0
11334-7	531.9
11336-9	495.8
11338-49	377.0
11342-59	228.1
11347-9	19428.2
11348-132	1064.9
11350-30	993.2
11351-233	271.7
11352-42	435.2
11353-143	1180.0
11354-21	8916.3
11355-10	1448.8
11356-19	403.2
11358-15	1031.8
11360-39	5321.4
11361-73	2802.0
11363-58	669.8
11364-18	1244.0
11365-17	393.1
11368-32	24460.2
11369-23	7513.1
11370-20	403.2
11371-1	537.0
11372-2	1353.6
11375-49	406.1
11377-19	2366.1
11378-37	1017.8
11380-84	711.3
11381-56	312.6
11382-5	2583.2
11383-41	806.7
11387-3	2321.3
11388-75	3327.4
11390-24	236.7
11391-69	2455.4
11395-5	1775.0
11396-39	563.2
11401-181	1174.5
11402-17	215.1
11405-150	664.9
11406-82	813.3
11407-57	698.4
11416-23	1319.2
11421-10	2405.2
11422-2	178.8
11424-4	3879.8
11425-31	2026.1
11428-31	2987.6
