Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
CRBB2	10000-28	Protein	20	2.711720300740766	0.12654675403322746	533.0962238592423	154.55786059328597
c-Raf	10001-7	Protein	20	2.59348171972518	0.10092127776040449	398.86490505505145	100.33864912161039
ZNF41	10003-15	Protein	0.5	2.220029310194741	0.11136897412044444	169.471767161509	43.62850218667779
ELK1	10006-25	Protein	20	2.799848113751624	0.07908841574996783	638.1393858115532	115.14173117802274
GUC1A	10008-43	Protein	20	2.6746829589921255	0.09650506614034349	480.22747622268037	106.58959765537658
BECN1	10010-10	Protein	20	2.481165731582027	0.11014616821412382	310.2794792985188	78.26441630091027
OCRL	10011-65	Protein	20	3.406191147256674	0.14591654252122654	2547.439305604831	932.09621883114
SPDEF	10012-5	Protein	20	3.1579962779539654	0.1601855535526946	1444.573890410787	586.4134729010711
Fc_MOUSE	10013-34	Protein	20	2.6661559404253055	0.16513923313667678	473.0983066537572	194.12668458517615
SLUG	10014-31	Protein	20	2.9113537119531703	0.12764485616925914	839.7264099463857	248.59371588567265
KCAB2	10015-119	Protein	20	2.7789770357848074	0.07618355892611374	608.0964502092501	90.920927549963
Fc_MOUSE	10021-1	Protein	20	2.964301424700837	0.12258332397835003	927.565745097875	274.1142613483165
POLH	10022-207	Protein	20	2.2433343083532833	0.13321527465577754	179.64856458858898	56.35681667010328
VDR	10023-32	Protein	20	2.7376196518397817	0.14024273949893962	550.9346843476812	189.6683197562574
HOGA1	10024-44	Protein	20	2.8045023727835976	0.1590527907901802	656.2564079015432	253.3733009862209
DLDH	10025-1	Protein	0.5	3.199688113455967	0.11875346240375872	1574.4778233700263	449.976184369763
MutY homolog	10030-8	Protein	20	2.1470505773314894	0.14900586009752437	144.97741641237198	51.32239205245095
Fc_MOUSE	10034-16	Protein	20	3.5202822729492946	0.19047317802045782	3312.3698185398725	1680.303013069168
DUS4	10035-6	Protein	20	2.686027327192666	0.11707511281457905	492.06419035214316	136.13067645172382
ZHX3	10036-201	Protein	0.5	3.297413536795079	0.1173090874993763	2005.7285635653286	559.1994856012856
SIG12	10037-98	Protein	20	2.3454031055488	0.16229202326018122	237.69883570185354	87.6853634322315
PNP	10039-32	Protein	0.5	3.2538892990355532	0.19812337719877227	1827.128570000099	1000.9357325887526
P73L	10040-63	Protein	20	2.643000231805273	0.1185873113250242	448.6643924226712	124.18255642602927
HNF4A	10041-3	Protein	0.5	4.457674295972796	0.11595013177076074	28880.605119314947	8021.310005105948
SGK3	10042-8	Protein	20	2.95065039136275	0.07030842632985057	895.7176095862193	122.39770422658476
BRD4	10043-31	Protein	20	2.7694459976628414	0.074379013717073	601.323280469686	98.16742464630228
WN10A	10044-12	Protein	20	2.879395033261695	0.1803931846274327	732.6131772421384	329.2030805579125
